path	node	rank
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;	Methanocorpusculum	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;	Methanomicrobiaceae	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;	Methanoculleus	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;	Methanofollis	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanogenium;	Methanogenium	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia;	Methanolacinia	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium;	Methanomicrobium	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;	Methanoplanus	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;uncultured;	uncultured	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiales Incertae Sedis;	Methanomicrobiales Incertae Sedis	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiales Incertae Sedis;Methanocalculus;	Methanocalculus	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;	Methanoregulaceae	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea;	Methanolinea	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;	Methanoregula	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;	Methanosphaerula	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;	Methanospirillaceae	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;	Methanospirillum	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;MHLsu47-B8A;	MHLsu47-B8A	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Rice Cluster II;	Rice Cluster II	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;SMS-sludge-7;	SMS-sludge-7	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;WCHA2-08;	WCHA2-08	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;	Methanosarcinales	order
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;ANME-2a-2b;	ANME-2a-2b	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;ANME-2a-2b;ANME-2b;	ANME-2b	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;ANME-2c;	ANME-2c	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;GOM Arc I;	GOM Arc I	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;GOM Arc I;Candidatus Methanoperedens;	Candidatus Methanoperedens	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;GoM-Arch87;	GoM-Arch87	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;	Methanosaetaceae	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;	Methanosaeta	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;	Methanosarcinaceae	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;ANME-3;	ANME-3	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanimicrococcus;	Methanimicrococcus	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;	Methanococcoides	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium;	Methanohalobium	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;	Methanohalophilus	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;	Methanolobus	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;	Methanomethylovorans	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;	Methanosalsum	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	Methanosarcina	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;uncultured;	uncultured	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methermicoccaceae;	Methermicoccaceae	family
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methermicoccaceae;Methermicoccus;	Methermicoccus	genus
Archaea;Euryarchaeota;Methanomicrobia;ST-12K10A;	ST-12K10A	order
Archaea;Euryarchaeota;Methanopyri;	Methanopyri	class
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;	Methanopyrales	order
